Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,22,18,16,56
Germany,11,9,19,39
Netherlands,8,10,5,23
Finland,8,8,9,25
France,7,12,6,25
Sweden,7,6,12,25
Italy,7,6,7,20
Switzerland,7,6,4,17
Hungary,5,5,0,10
Great Britain,4,11,7,22
Canada,4,4,7,15
Argentina,3,3,1,7
Denmark,3,2,4,9
Austria,3,0,1,4
Czechoslovakia,2,5,2,9
Japan,2,2,1,5
Poland,2,1,4,7
Estonia,2,1,2,5
Egypt,2,1,1,4
Norway,1,2,1,4
Australia,1,2,1,4
Yugoslavia,1,1,3,5
South Africa,1,0,2,3
Uruguay,1,0,0,1
Spain,1,0,0,1
Ireland,1,0,0,1
Luxembourg,1,0,0,1
India,1,0,0,1
New Zealand,1,0,0,1
Belgium,0,1,2,3
Chile,0,1,0,1
Haiti,0,1,0,1
Philippines,0,0,1,1
Portugal,0,0,1,1
