Country,gold_medals,silver_medals,bronze_medals,total_medals
Unified Team,45,38,29,112
United States of America,37,34,37,108
Germany,33,21,28,82
People's Republic of China,16,22,16,54
Cuba,14,6,11,31
Spain,13,7,2,22
Republic of Korea,12,5,12,29
Hungary,11,12,7,30
France,8,5,16,29
Australia,7,9,11,27
Canada,7,4,7,18
Italy,6,5,8,19
Great Britain,5,3,12,20
Romania,4,6,8,18
Czechoslovakia,4,2,1,7
Democratic People's Republic of Korea,4,0,5,9
Japan,3,8,11,22
Bulgaria,3,7,6,16
Poland,3,6,10,19
Netherlands,2,6,7,15
Kenya,2,4,2,8
Norway,2,4,1,7
Turkey,2,2,2,6
Indonesia,2,2,1,5
Brazil,2,1,0,3
Greece,2,0,0,2
Sweden,1,7,4,12
New Zealand,1,4,5,10
Finland,1,2,2,5
Denmark,1,1,4,6
Morocco,1,1,1,3
Ireland,1,1,0,2
Ethiopia,1,0,2,3
Algeria,1,0,1,2
Estonia,1,0,1,2
Lithuania,1,0,1,2
Switzerland,1,0,0,1
Jamaica,0,3,1,4
Nigeria,0,3,1,4
Latvia,0,2,1,3
South Africa,0,2,0,2
Austria,0,2,0,2
Namibia,0,2,0,2
Belgium,0,1,2,3
Independent Olympic Athletes,0,1,2,3
Islamic Republic of Iran,0,1,2,3
Croatia,0,1,2,3
Israel,0,1,1,2
Chinese Taipei,0,1,0,1
Mexico,0,1,0,1
Peru,0,1,0,1
Mongolia,0,0,2,2
Slovenia,0,0,2,2
Bahamas,0,0,1,1
Argentina,0,0,1,1
Philippines,0,0,1,1
Qatar,0,0,1,1
Colombia,0,0,1,1
Ghana,0,0,1,1
Puerto Rico,0,0,1,1
Malaysia,0,0,1,1
Thailand,0,0,1,1
Suriname,0,0,1,1
Pakistan,0,0,1,1
