Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,40,19,17,76
Soviet Union,22,30,19,71
Hungary,16,10,16,42
Sweden,12,13,10,35
Italy,8,9,4,21
Czechoslovakia,7,3,3,13
France,6,6,6,18
Finland,6,3,13,22
Australia,6,2,3,11
Norway,3,2,0,5
Switzerland,2,6,6,14
South Africa,2,4,4,10
Jamaica,2,3,0,5
Belgium,2,2,0,4
Denmark,2,1,3,6
Turkey,2,0,1,3
Japan,1,6,2,9
Great Britain,1,2,8,11
Argentina,1,2,2,5
Poland,1,2,1,4
Yugoslavia,1,2,0,3
Canada,1,2,0,3
Romania,1,1,2,4
Brazil,1,0,2,3
New Zealand,1,0,2,3
India,1,0,1,2
Luxembourg,1,0,0,1
Germany,0,7,17,24
Netherlands,0,5,0,5
Islamic Republic of Iran,0,3,4,7
Chile,0,2,0,2
Austria,0,1,1,2
Lebanon,0,1,1,2
Spain,0,1,0,1
Mexico,0,1,0,1
Ireland,0,1,0,1
Republic of Korea,0,0,2,2
Trinidad and Tobago,0,0,2,2
Uruguay,0,0,2,2
Portugal,0,0,1,1
Egypt,0,0,1,1
Bulgaria,0,0,1,1
Venezuela,0,0,1,1
