Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,44,36,30,110
Italy,12,12,12,36
France,11,5,4,20
Sweden,10,5,9,24
Japan,7,7,4,18
Hungary,6,5,5,16
Germany,5,12,7,24
Finland,5,8,12,25
Great Britain,5,7,5,17
Poland,3,2,4,9
Australia,3,1,1,5
Argentina,3,1,0,4
Canada,2,5,9,16
Netherlands,2,5,1,8
South Africa,2,0,3,5
Ireland,2,0,0,2
Czechoslovakia,1,3,2,6
Austria,1,1,3,5
India,1,0,0,1
Denmark,0,5,3,8
Mexico,0,2,0,2
Switzerland,0,1,0,1
Latvia,0,1,0,1
New Zealand,0,1,0,1
Philippines,0,0,3,3
Spain,0,0,1,1
Belgium,0,0,1,1
Uruguay,0,0,1,1
