Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,37,29,32,98
United States of America,32,25,17,74
Australia,13,8,14,35
Hungary,9,10,7,26
Italy,8,6,8,22
Great Britain,5,7,9,21
Sweden,5,5,6,16
Romania,5,3,5,13
Germany,4,10,6,20
Japan,4,10,5,19
France,4,4,6,14
Turkey,3,2,2,7
Finland,3,1,11,15
Islamic Republic of Iran,2,2,1,5
Canada,2,1,2,5
New Zealand,2,0,0,2
Poland,1,4,4,9
Czechoslovakia,1,4,1,6
Bulgaria,1,3,1,5
Ireland,1,1,3,5
Denmark,1,1,1,3
Norway,1,0,2,3
Mexico,1,0,1,2
India,1,0,0,1
Brazil,1,0,0,1
Yugoslavia,0,3,0,3
Chile,0,2,2,4
Belgium,0,2,0,2
Republic of Korea,0,1,1,2
Argentina,0,1,1,2
Iceland,0,1,0,1
Pakistan,0,1,0,1
South Africa,0,0,4,4
Austria,0,0,2,2
Bahamas,0,0,1,1
Greece,0,0,1,1
Uruguay,0,0,1,1
