Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,45,28,34,107
Soviet Union,29,32,30,91
Japan,11,7,7,25
Hungary,10,10,12,32
German Democratic Republic (Germany),9,9,7,25
France,7,3,5,15
Czechoslovakia,7,2,4,13
Federal Republic of Germany,5,11,10,26
Australia,5,7,5,17
Great Britain,5,5,3,13
Poland,5,2,11,18
Romania,4,6,5,15
Italy,3,4,9,16
Kenya,3,4,2,9
Mexico,3,3,3,9
Yugoslavia,3,3,2,8
Netherlands,3,3,1,7
Bulgaria,2,4,3,9
Islamic Republic of Iran,2,1,2,5
Sweden,2,1,1,4
Turkey,2,0,0,2
Denmark,1,4,3,8
Canada,1,3,1,5
Finland,1,2,1,4
Norway,1,1,0,2
Ethiopia,1,1,0,2
New Zealand,1,0,2,3
Tunisia,1,0,1,2
Pakistan,1,0,0,1
Venezuela,1,0,0,1
Cuba,0,4,0,4
Austria,0,2,2,4
Switzerland,0,1,4,5
Mongolia,0,1,3,4
Brazil,0,1,2,3
Belgium,0,1,1,2
Uganda,0,1,1,2
Republic of Korea,0,1,1,2
Jamaica,0,1,0,1
Cameroon,0,1,0,1
Argentina,0,0,2,2
Chinese Taipei,0,0,1,1
Greece,0,0,1,1
India,0,0,1,1
