Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,80,69,46,195
German Democratic Republic (Germany),47,37,42,126
Bulgaria,8,16,17,41
Cuba,8,7,5,20
Italy,8,3,4,15
Hungary,7,10,15,32
Romania,6,6,13,25
France,6,5,3,14
Great Britain,5,7,9,21
Poland,3,14,15,32
Sweden,3,3,6,12
Finland,3,1,4,8
Czechoslovakia,2,3,9,14
Yugoslavia,2,3,4,9
Australia,2,2,5,9
Denmark,2,1,2,5
Brazil,2,0,2,4
Ethiopia,2,0,2,4
Switzerland,2,0,0,2
Spain,1,3,2,6
Austria,1,2,1,4
Greece,1,0,2,3
Zimbabwe,1,0,0,1
India,1,0,0,1
Belgium,1,0,0,1
Democratic People's Republic of Korea,0,3,2,5
Mongolia,0,2,2,4
United Republic of Tanzania,0,2,0,2
Mexico,0,1,3,4
Netherlands,0,1,2,3
Ireland,0,1,1,2
Uganda,0,1,0,1
Venezuela,0,1,0,1
Jamaica,0,0,3,3
Guyana,0,0,1,1
Lebanon,0,0,1,1
