Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,50,27,22,99
United States of America,33,31,30,94
German Democratic Republic (Germany),20,23,23,66
Federal Republic of Germany,13,11,16,40
Japan,13,8,8,29
Australia,8,7,2,17
Poland,7,5,9,21
Hungary,6,13,16,35
Bulgaria,6,10,5,21
Italy,5,3,10,18
Sweden,4,6,6,16
Great Britain,4,5,9,18
Romania,3,6,7,16
Finland,3,1,4,8
Cuba,3,1,4,8
Netherlands,3,1,1,5
France,2,4,7,13
Czechoslovakia,2,4,2,8
Kenya,2,3,4,9
Yugoslavia,2,1,2,5
Norway,2,1,1,4
Democratic People's Republic of Korea,1,1,3,5
New Zealand,1,1,1,3
Uganda,1,1,0,2
Denmark,1,0,0,1
Switzerland,0,3,0,3
Canada,0,2,3,5
Islamic Republic of Iran,0,2,1,3
Belgium,0,2,0,2
Greece,0,2,0,2
Colombia,0,1,2,3
Austria,0,1,2,3
Pakistan,0,1,0,1
Lebanon,0,1,0,1
Turkey,0,1,0,1
Republic of Korea,0,1,0,1
Mongolia,0,1,0,1
Argentina,0,1,0,1
Tunisia,0,1,0,1
Mexico,0,1,0,1
Brazil,0,0,2,2
Ethiopia,0,0,2,2
Spain,0,0,1,1
Ghana,0,0,1,1
Nigeria,0,0,1,1
India,0,0,1,1
Niger,0,0,1,1
Jamaica,0,0,1,1
