Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,45,27,27,99
France,14,15,12,41
Finland,14,13,10,37
Great Britain,9,14,12,35
Italy,8,3,5,16
Switzerland,7,8,10,25
Norway,5,2,3,10
Sweden,4,13,12,29
Netherlands,4,1,6,11
Belgium,3,7,3,13
Australia,3,1,2,6
Denmark,2,6,3,11
Hungary,2,4,4,10
Yugoslavia,2,0,0,2
Czechoslovakia,1,4,5,10
Argentina,1,3,2,6
Estonia,1,1,4,6
South Africa,1,1,1,3
Luxembourg,1,1,0,2
Greece,1,0,0,1
Uruguay,1,0,0,1
Canada,0,3,1,4
Austria,0,3,1,4
Ireland,0,1,1,2
Poland,0,1,1,2
Japan,0,0,1,1
Haiti,0,0,1,1
Monaco,0,0,1,1
Portugal,0,0,1,1
Romania,0,0,1,1
New Zealand,0,0,1,1
